ORF,product
YAL025C,ribosome biosynthesis protein MAK16
YBL092W,ribosomal 60S subunit protein L32
YBL090W,mitochondrial 37S ribosomal protein MRP21
YBL087C,ribosomal 60S subunit protein L23A
YBL072C,ribosomal 40S subunit protein S8A
YBL038W,mitochondrial 54S ribosomal protein YmL47
YBL027W,ribosomal 60S subunit protein L19B
YBR031W,ribosomal 60S subunit protein L4A
YBR048W,ribosomal 40S subunit protein S11B
YBR084C-A,ribosomal 60S subunit protein L19A
YBR122C,mitochondrial 54S ribosomal protein YmL36
YBR146W,mitochondrial 37S ribosomal protein MRPS9
YBR181C,ribosomal 40S subunit protein S6B
YBR187W,putative ribosome biosynthesis protein GDT1
YBR189W,ribosomal 40S subunit protein S9B
YBR191W,ribosomal 60S subunit protein L21A
YBR251W,mitochondrial 37S ribosomal protein MRPS5
YBR268W,mitochondrial 54S ribosomal protein YmL37
YBR282W,mitochondrial 54S ribosomal protein YmL27
YCL059C,ribosome biosynthesis protein KRR1
YCR003W,mitochondrial 54S ribosomal protein YmL32
YCR031C,ribosomal 40S subunit protein S14A
YCR046C,mitochondrial 54S ribosomal protein IMG1
YCR071C,mitochondrial 54S ribosomal protein IMG2
YDL202W,mitochondrial 54S ribosomal protein YmL11
YDL191W,ribosomal 60S subunit protein L35A
YDL184C,ribosomal 60S subunit protein L41A
YDL136W,ribosomal 60S subunit protein L35B
YDL133C-A,ribosomal 60S subunit protein L41B
YDL130W,ribosomal protein P1B
YDL083C,ribosomal 40S subunit protein S16B
YDL082W,ribosomal 60S subunit protein L13A
YDL081C,ribosomal protein P1A
YDL075W,ribosomal 60S subunit protein L31A
YDL061C,ribosomal 40S subunit protein S29B
YDL045W-A,mitochondrial 37S ribosomal protein YmS-T
YDR012W,ribosomal 60S subunit protein L4B
YDR025W,ribosomal 40S subunit protein S11A
YDR041W,mitochondrial 37S ribosomal protein RSM10
YDR060W,RNA-binding ribosome biosynthesis protein MAK21
YDR064W,ribosomal 40S subunit protein S13
YDR091C,Fe-S cluster-binding ribosome biosynthesis protein
YDR115W,putative mitochondrial 54S ribosomal protein
YDR116C,mitochondrial 54S ribosomal protein MRPL1
YDR175C,mitochondrial 37S ribosomal protein RSM24
YDR237W,mitochondrial 54S ribosomal protein YmL7/YmL5
YDR257C,ribosomal lysine N-methyltransferase
YDR312W,rRNA-binding ribosome biosynthesis protein
YDR322W,mitochondrial 54S ribosomal protein YmL35
YDR337W,mitochondrial 37S ribosomal protein MRPS28
YDR347W,mitochondrial 37S ribosomal protein MRP1
YDR382W,ribosomal protein P2B
YDR405W,mitochondrial 54S ribosomal protein YmL41
YDR418W,ribosomal 60S subunit protein L12B
YDR447C,ribosomal 40S subunit protein S17B
YDR450W,ribosomal 40S subunit protein S18A
YDR462W,mitochondrial 54S ribosomal protein YmL28
YDR471W,ribosomal 60S subunit protein L27B
YDR494W,mitochondrial 37S ribosomal protein RSM28
YDR500C,ribosomal 60S subunit protein L37B
YEL054C,ribosomal 60S subunit protein L12A
YEL050C,mitochondrial 54S ribosomal protein RML2
YER050C,mitochondrial 37S ribosomal protein RSM18
YER056C-A,ribosomal 60S subunit protein L34A
YER074W,ribosomal 40S subunit protein S24A
YER102W,ribosomal 40S subunit protein S8B
YER117W,ribosomal 60S subunit protein L23B
YER131W,ribosomal 40S subunit protein S26B
YFL034C-A,ribosomal 60S subunit protein L22B
YFR031C-A,ribosomal 60S subunit protein L2A
YFR032C-A,ribosomal 60S subunit protein L29
YFR049W,mitochondrial 37S ribosomal protein YMR31
YGL189C,ribosomal 40S subunit protein S26A
YGL147C,ribosomal 60S subunit protein L9A
YGL135W,ribosomal 60S subunit protein L1B
YGL129C,mitochondrial 37S ribosomal protein RSM23
YGL123W,ribosomal 40S subunit protein S2
YGL111W,ribosome biosynthesis protein NSA1
YGL103W,ribosomal 60S subunit protein L28
YGL076C,ribosomal 60S subunit protein L7A
YGL031C,ribosomal 60S subunit protein L24A
YGL030W,ribosomal 60S subunit protein L30
YGR027C,ribosomal 40S subunit protein S25A
YGR034W,ribosomal 60S subunit protein L26B
YGR076C,mitochondrial 54S ribosomal protein YmL25
YGR084C,mitochondrial 37S ribosomal protein YmS-A
YGR085C,ribosomal 60S subunit protein L11B
YGR103W,mRNA-binding ribosome synthesis protein NOP7
YGR118W,ribosomal 40S subunit protein S23A
YGR145W,ribosome biosynthesis protein ENP2
YGR148C,ribosomal 60S subunit protein L24B
YGR165W,mitochondrial 37S ribosomal protein MRPS35
YGR214W,ribosomal 40S subunit protein S0A
YGR215W,mitochondrial 37S ribosomal protein RSM27
YGR220C,mitochondrial 54S ribosomal protein YmL9
YHL033C,ribosomal 60S subunit protein L8A
YHL015W,ribosomal 40S subunit protein S20
YHL004W,mitochondrial 37S ribosomal protein MRP4
YHL001W,ribosomal 60S subunit protein L14B
YHR010W,ribosomal 60S subunit protein L27A
YHR021C,ribosomal 40S subunit protein S27B
YHR066W,rRNA-binding ribosome biosynthesis protein
YHR075C,carboxylesterase-mitochondrial 37S ribosomal protein YmS2
YHR088W,rRNA-binding ribosome biosynthesis protein RPF1
YHR141C,ribosomal 60S subunit protein L42B
YHR147C,mitochondrial 54S ribosomal protein YmL16
YHR170W,ribosome-binding protein NMD3
YHR203C,ribosomal 40S subunit protein S4B
YIL148W,ubiquitin-ribosomal 60S subunit protein L40A fusion protein
YIL133C,ribosomal 60S subunit protein L16A
YIL093C,mitochondrial 37S ribosomal protein RSM25
YIL091C,rRNA-binding ribosome biosynthesis protein UTP25
YIL069C,ribosomal 40S subunit protein S24B
YIL052C,ribosomal 60S subunit protein L34B
YIL018W,ribosomal 60S subunit protein L2B
YJL191W,ribosomal 40S subunit protein S14B
YJL190C,ribosomal 40S subunit protein S22A
YJL189W,ribosomal 60S subunit protein L39
YJL177W,ribosomal 60S subunit protein L17B
YJL136C,ribosomal 40S subunit protein S21B
YJL096W,mitochondrial 54S ribosomal protein YmL49
YJL063C,mitochondrial 54S ribosomal protein YmL8
YJR094W-A,ribosomal 60S subunit protein L43B
YJR101W,mitochondrial 37S ribosomal protein RSM26
YJR113C,mitochondrial 37S ribosomal protein RSM7
YJR123W,ribosomal 40S subunit protein S5
YJR145C,ribosomal 40S subunit protein S4A
YKL180W,ribosomal 60S subunit protein L17A
YKL170W,mitochondrial 54S ribosomal protein YmL38/YmL34
YKL167C,mitochondrial 54S ribosomal protein MRP49
