ORF	iniProb	mRNAabundance	mRNADecRateNeymotin_min	mRNADecRateNeymotin_sec	mRNASynRateTotal_sec	mRNAhalfLife_min	CAI	geneLength_codon	iniProb_log10	mRNAabundance_log10	mRNADecRateNeymotin_sec_log10	geneLength_codon_log10
YAL001C	5.9128733127367e-4	4	0.057150676250000004	9.525112708333334e-4	0.0038100450833333335	12.128416075565601	0.121	1160	-3.2282014259508	0.6020599913279624	-3.021129876721358	3.0644579892269186
YAL002W	2.9892191935337e-4	1	0.070241087	0.0011706847833333333	0.0011706847833333333	9.86811580179483	0.134	1274	-3.524442237837315	0	-2.9315600266079063	3.1051694279993316
YAL003W	0.00465327934775768	290	0.050929161	8.4881935e-4	0.2461576115	13.610025512887308	0.763	206	-2.3322408749225514	2.462397997898956	-3.071184728656152	2.3138672203691533
YAL007C	0.00157369375701685	11	0.044406949125	7.401158187499999e-4	0.00814127400625	15.608979995649394	0.235	215	-2.803079778061974	1.041392685158225	-3.1307003133660403	2.3324384599156054
YAL008W	0.00235231807450303	2	0.04330591475	7.217652458333334e-4	0.0014435304916666667	16.00583164127587	0.115	198	-2.628503954423389	0.3010299956639812	-3.141604033756409	2.296665190261531
YAL009W	6.0905277365597e-4	4	0.061413355399999994	0.0010235559233333332	0.004094223693333333	11.286587030545888	0.111	259	-3.215345074666658	0.6020599913279624	-2.9898884240990986	2.413299764081252
YAL010C	7.9587482093973e-4	2	0.07384028533333332	0.001230671422222222	0.002461342844444444	9.387114058821785	0.119	493	-3.0991552348380385	0.3010299956639812	-2.9098578841635567	2.69284691927723
YAL011W	7.5728674090096e-4	4	0.07713753133333333	0.0012856255222222222	0.005142502088888889	8.985861597834369	0.148	625	-3.1207396470364177	0.6020599913279624	-2.890885514550363	2.7958800173440754
YAL012W	0.00349410138073666	49	0.026102331125	4.350388520833333e-4	0.02131690375208333	26.554991477219847	0.42	394	-2.4566644981923127	1.6901960800285136	-3.361471955707595	2.595496221825574
YAL013W	0.00168992599693992	2	0.065222318625	0.00108703864375	0.0021740772875	10.627453840536404	0.107	405	-2.7721323130338553	0.3010299956639812	-2.96375501665973	2.6074550232146687
YAL014C	4.5439560270603e-4	10	0.0494354045	8.239234083333334e-4	0.008239234083333333	14.021270536179092	0.1	255	-3.3425658800473608	1	-3.0841131583080057	2.406540180433955
YAL015C	6.5620016010615e-4	4	0.047670237875	7.945039645833334e-4	0.0031780158583333334	14.540459864653975	0.12	399	-3.1829636679865314	0.6020599913279624	-3.099903931317056	2.6009728956867484
YAL016W	0.00149186081779973	5	0.04597652925	7.662754875000001e-4	0.0038313774375	15.076109307662566	0.177	635	-2.826271692199213	0.6989700043360189	-3.11561506693158	2.8027737252919755
