title                    	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	Lsym	Laa	Gravy	Aromo	
YAL001C                  	0.4502	0.1859	0.4179	0.2399	0.121	-0.019	0.409	52.50	0.316	0.372	1128	1160	-0.511552	0.079310	
YAL002W                  	0.4182	0.2304	0.4060	0.2338	0.134	0.055	0.446	50.93	0.348	0.372	1245	1274	-0.090346	0.096546	
YAL003W                  	0.4467	0.4000	0.3117	0.1690	0.763	0.741	0.849	26.67	0.422	0.448	199	206	-0.416505	0.077670	
YAL004W                  	0.3641	0.4674	0.2422	0.1149	0.192	0.288	0.584	34.44	0.493	0.451	209	215	-0.018140	0.079070	
YAL005C                  	0.4427	0.3498	0.2628	0.2124	0.712	0.763	0.859	28.34	0.436	0.441	633	642	-0.438474	0.060748	
YAL007C                  	0.4551	0.2528	0.3168	0.2374	0.235	0.230	0.557	49.46	0.371	0.372	210	215	0.147907	0.102326	
YAL008W                  	0.4125	0.2062	0.3200	0.2899	0.115	0.084	0.439	51.66	0.390	0.389	187	198	0.283838	0.101010	
YAL009W                  	0.4067	0.2344	0.3469	0.2743	0.111	0.030	0.424	58.17	0.388	0.414	250	259	-0.320850	0.119691	
YAL010C                  	0.3805	0.2390	0.4728	0.1846	0.119	-0.025	0.388	50.65	0.330	0.368	479	493	-0.473834	0.113590	
YAL011W                  	0.3744	0.2415	0.4085	0.3103	0.148	0.085	0.462	53.63	0.407	0.417	600	625	-1.107360	0.054400	
YAL012W                  	0.3142	0.4471	0.2435	0.2183	0.420	0.548	0.728	35.03	0.540	0.488	389	394	-0.144416	0.065990	
YAL013W                  	0.2046	0.4686	0.2549	0.4456	0.107	0.082	0.465	52.39	0.658	0.513	409	420	-0.995000	0.064286	
YAL014C                  	0.3216	0.2362	0.2656	0.4944	0.100	0.034	0.418	54.65	0.542	0.451	251	255	-0.507451	0.039216	
YAL015C                  	0.3218	0.2561	0.3810	0.3136	0.120	0.077	0.456	57.06	0.435	0.435	377	399	-0.349373	0.067669	
YAL016CA                	0.4043	0.2660	0.3375	0.1622	0.136	0.074	0.441	55.43	0.363	0.413	102	104	0.795192	0.096154	
YAL016CB                	0.5400	0.1800	0.4390	0.1875	0.243	0.242	0.583	29.49	0.250	0.257	 60	 61	0.013115	0.196721	
YAL016W                  	0.4131	0.2085	0.4075	0.2327	0.177	0.115	0.470	46.08	0.338	0.383	619	635	0.085512	0.072441	
YAL017W                  	0.4350	0.2138	0.3902	0.2497	0.126	0.012	0.414	52.78	0.348	0.389	1323	1356	-0.471534	0.074484	
YAL018C                  	0.4066	0.2637	0.3392	0.2650	0.154	0.097	0.466	50.68	0.399	0.379	313	325	0.440923	0.172308	
YAL019W                  	0.3805	0.2598	0.3953	0.2961	0.163	0.081	0.461	51.90	0.407	0.406	1103	1131	-0.766844	0.068081	
YAL019WA                	0.2738	0.4524	0.2279	0.2500	0.108	0.072	0.445	60.57	0.577	0.515	182	189	0.137566	0.100529	
YAL020C                  	0.2390	0.3456	0.2893	0.3836	0.059	-0.082	0.346	54.92	0.575	0.553	318	333	-0.318318	0.084084	
YAL021C                  	0.2770	0.3744	0.3466	0.3223	0.137	0.117	0.473	57.15	0.524	0.457	805	837	-0.559976	0.090800	
YAL022C                  	0.2864	0.3944	0.2861	0.2818	0.119	0.078	0.461	56.46	0.533	0.458	490	517	0.262669	0.121857	
YAL023C                  	0.3232	0.3585	0.3340	0.2317	0.240	0.337	0.599	45.83	0.472	0.446	708	759	-0.052437	0.147563	
YAL024C                  	0.3947	0.2282	0.4544	0.2141	0.123	-0.008	0.410	51.52	0.333	0.371	1396	1435	-0.603136	0.068293	
YAL025C                  	0.3842	0.2956	0.4261	0.2636	0.219	0.202	0.534	49.09	0.401	0.424	294	306	-1.184968	0.068627	
YAL026C                  	0.4653	0.2203	0.3967	0.2002	0.188	0.140	0.497	47.24	0.316	0.376	1309	1355	-0.212546	0.110701	
YAL026CA                	0.3578	0.2202	0.4579	0.2644	0.088	-0.091	0.385	50.48	0.348	0.336	135	145	0.107586	0.096552	
YAL027W                  	0.3398	0.2427	0.4100	0.3103	0.112	-0.018	0.406	54.59	0.406	0.384	256	261	-0.255173	0.061303	
YAL028W                  	0.3880	0.2482	0.3728	0.2686	0.113	-0.009	0.392	57.08	0.398	0.426	513	528	-0.687500	0.060606	
YAL029C                  	0.3911	0.2402	0.4384	0.2469	0.150	0.094	0.472	51.96	0.357	0.372	1423	1471	-0.328076	0.096533	
YAL030W                  	0.3626	0.2637	0.4111	0.2125	0.132	0.077	0.450	53.34	0.369	0.425	111	117	-0.219658	0.051282	
YAL031C                  	0.3505	0.2259	0.3880	0.3052	0.123	0.062	0.436	54.06	0.406	0.401	737	760	-0.455921	0.075000	
YAL031WA                	0.4130	0.2500	0.2778	0.2903	0.124	0.119	0.465	56.37	0.414	0.402	 99	102	0.459804	0.107843	
YAL032C                  	0.3125	0.2847	0.3993	0.2914	0.139	0.139	0.481	58.71	0.441	0.453	370	379	-0.826121	0.055409	
YAL033W                  	0.3071	0.3000	0.3333	0.3868	0.093	-0.008	0.417	61.00	0.494	0.416	168	173	-0.242775	0.052023	
YAL034C                  	0.3735	0.2676	0.3514	0.2796	0.125	0.073	0.430	57.22	0.422	0.423	400	413	-0.835351	0.094431	
YAL034CB                	0.4111	0.1889	0.4725	0.1818	0.105	-0.095	0.369	45.47	0.279	0.345	111	117	0.362393	0.085470	
YAL034WA                	0.3679	0.1887	0.4044	0.3558	0.109	-0.055	0.375	55.82	0.403	0.386	283	289	-0.529066	0.048443	
YAL035W                  	0.4357	0.2617	0.3949	0.2244	0.355	0.416	0.654	40.82	0.362	0.413	979	1002	-0.740918	0.043912	
YAL036C                  	0.4147	0.2642	0.2755	0.2928	0.239	0.244	0.548	43.10	0.432	0.437	361	369	-0.131707	0.056911	
YAL037CA                	0.2609	0.3478	0.5000	0.2000	0.103	-0.034	0.444	37.20	0.407	0.322	 27	 30	0.540000	0.066667	
YAL037CB                	0.3855	0.4545	0.2780	0.0657	0.231	0.339	0.609	31.19	0.453	0.464	307	324	-0.221914	0.117284	
YAL037W                  	0.3615	0.2535	0.3878	0.2989	0.094	-0.070	0.378	52.84	0.409	0.392	259	267	-0.122846	0.097378	
YAL038W                  	0.3511	0.4504	0.2306	0.1948	0.893	0.882	0.930	24.86	0.520	0.463	488	500	-0.148000	0.062000	
YAL039C                  	0.2598	0.3922	0.2917	0.3189	0.114	0.100	0.448	59.56	0.560	0.533	248	269	-0.648699	0.081784	
YAL040C                  	0.3640	0.3313	0.3246	0.2205	0.205	0.236	0.536	49.44	0.440	0.411	563	580	-0.261035	0.098276	
YAL041W                  	0.3821	0.2687	0.3704	0.2769	0.128	0.048	0.442	53.83	0.408	0.389	826	854	-0.477635	0.076112	
YAL042CA                	0.2783	0.3826	0.2065	0.2976	0.095	0.028	0.417	59.16	0.575	0.483	120	125	0.054400	0.064000	
YAL042W                  	0.3099	0.3596	0.2215	0.4052	0.118	0.096	0.460	54.38	0.577	0.496	402	415	-0.399759	0.089157	
YAL043C                  	0.2645	0.3653	0.3069	0.3393	0.130	0.133	0.478	54.78	0.543	0.460	757	785	-0.362548	0.068790	
YAL044C                  	0.3438	0.3594	0.2782	0.2756	0.162	0.121	0.475	44.58	0.500	0.484	162	170	-0.436471	0.070588	
YAL044WA                	0.3580	0.3457	0.3000	0.3117	0.138	0.122	0.467	61.00	0.495	0.473	105	110	-0.620909	0.090909	
YAL045C                  	0.3902	0.4024	0.2000	0.2462	0.107	0.031	0.421	54.36	0.516	0.477	 95	102	0.358824	0.088235	
YAL046C                  	0.2619	0.2976	0.2872	0.4070	0.113	0.141	0.486	59.44	0.550	0.483	109	118	-0.426271	0.050847	
YAL047C                  	0.3638	0.2812	0.4368	0.2802	0.143	0.053	0.453	55.92	0.397	0.365	609	622	-0.777813	0.053055	
YAL047WA                	0.4194	0.1720	0.4198	0.2113	0.134	0.074	0.452	60.97	0.298	0.358	104	109	0.546789	0.110092	
YAL048C                  	0.3506	0.2839	0.4205	0.2407	0.144	0.068	0.450	53.15	0.397	0.400	647	662	-0.155287	0.098187	
YAL049C                  	0.4257	0.2871	0.3693	0.2038	0.172	0.080	0.461	52.92	0.373	0.420	241	246	-0.081301	0.109756	
YAL051W                  	0.3950	0.2276	0.4341	0.2349	0.143	0.057	0.441	50.02	0.347	0.374	1007	1047	-0.268004	0.090735	
YAL053W                  	0.3800	0.2936	0.2948	0.2759	0.166	0.187	0.518	53.54	0.445	0.420	759	783	0.229119	0.125160	
YAL054C                  	0.4027	0.3174	0.2937	0.2287	0.255	0.311	0.589	46.79	0.431	0.454	693	713	-0.271950	0.096774	
YAL055W                  	0.3172	0.2207	0.4526	0.2764	0.087	-0.119	0.345	52.19	0.379	0.426	174	180	-0.298333	0.066667	
YAL056CA                	0.3168	0.2277	0.4333	0.2000	0.111	0.052	0.414	50.81	0.360	0.417	111	116	0.284483	0.077586	
YAL056W                  	0.4393	0.1911	0.3987	0.2531	0.113	-0.013	0.396	53.69	0.332	0.395	846	880	-0.459091	0.089773	
YAL058W                  	0.3856	0.2442	0.3848	0.2667	0.109	0.028	0.425	56.55	0.385	0.434	475	502	-0.344821	0.089641	
YAL059CA                	0.3689	0.2951	0.3810	0.1546	0.188	0.234	0.515	43.09	0.375	0.386	136	140	0.682857	0.135714	
YAL059W                  	0.4248	0.1895	0.3837	0.2919	0.174	0.150	0.488	51.86	0.367	0.403	207	212	-0.830189	0.042453	
YAL060W                  	0.4500	0.2900	0.2787	0.2471	0.224	0.258	0.566	51.80	0.413	0.452	366	382	-0.049738	0.065445	
YAL061W                  	0.3274	0.3186	0.2993	0.3382	0.144	0.152	0.495	52.57	0.498	0.484	402	417	-0.235252	0.069544	
YAL062W                  	0.3352	0.3547	0.2635	0.3127	0.156	0.165	0.506	56.34	0.517	0.487	441	457	-0.193217	0.091904	
YAL063C                  	0.4139	0.2982	0.3010	0.1115	0.240	0.340	0.623	42.73	0.361	0.447	1280	1322	-0.120272	0.058245	
YAL063CA                	0.5238	0.1786	0.3538	0.2500	0.173	0.061	0.479	44.04	0.287	0.285	 94	 96	0.077083	0.104167	
YAL064CA                	0.4054	0.2613	0.3765	0.1899	0.209	0.241	0.554	49.96	0.364	0.439	121	126	0.017460	0.150794	
YAL064W                  	0.4253	0.1609	0.4935	0.2162	0.099	0.013	0.400	44.65	0.286	0.373	105	108	-0.241667	0.138889	
YAL064WB                	0.3119	0.1743	0.4412	0.2632	0.072	-0.141	0.366	56.26	0.358	0.455	123	126	0.968254	0.031746	
YAL065C                  	0.4298	0.2456	0.2857	0.1569	0.112	0.105	0.472	61.00	0.352	0.445	125	128	0.125781	0.031250	
YAL066W                  	0.4235	0.1882	0.5195	0.0968	0.111	-0.013	0.408	48.12	0.224	0.288	 98	102	0.644117	0.098039	
YAL067C                  	0.5000	0.1962	0.3893	0.1918	0.184	0.135	0.495	45.59	0.291	0.361	560	593	-0.062732	0.155143	
YAL067WA                	0.3731	0.2090	0.3148	0.3750	0.066	-0.164	0.297	59.59	0.432	0.413	 74	 75	0.230667	0.120000	
