ORF	Length	RPF	mRNA	TE	IP	FEatg	FEcap	cRPF	cTE	uATG	utr	gc	pE	Ai	S
YAL001C	1160	18.12	37.8	0.479365079365079	0.000591287331273676	-4.9	NA	2.67828904821995	0.0708542076248663	NA	NA	NA	0.000628806334785365	2.54551128378686	0.0615628315581849
YAL002W	1274	5.73	22.17	0.258457374830853	0.000298921919353378	-0.7	-7	0.879773155645484	0.0396830471648843	1	136	0.352941176470588	0.000330212058550458	1.4929625704115	0.0189613170659371
YAL003W	206	7065.07	4621.93	1.52859736084276	0.00465327934775768	0	-1.5	962.90451369246	0.208333859165426	0	22	0.363636363636364	0.00456294212705944	311.248015023096	54.6233338350966
YAL007C	215	209.47	212.43	0.986065998211175	0.00157369375701685	-3.2	-9.4	28.5431252880936	0.134364850953696	0	76	0.381578947368421	0.00154283326876755	14.3053693654721	0.84887691457917
YAL008W	198	95.55	49.96	1.91253002401922	0.00235231807450303	-1.4	-9.3	12.7046634755566	0.254296706876633	0	49	0.408163265306122	0.00225033721364129	3.36438475497333	0.291192315966304
YAL009W	259	18.89	34.96	0.54033180778032	0.00060905277365597	-1.7	-18	2.58126852710879	0.0738349121026541	0	26	0.384615384615385	0.000598790960768742	2.35426122966108	0.0542196286003599
YAL010C	493	11.05	16.67	0.662867426514697	0.000795874820939731	-0.4	-5.5	1.59518666027348	0.0956920612041682	0	42	0.380952380952381	0.000826633646589688	1.12258394446368	0.035690986908271
YAL011W	625	10.5	17.4	0.603448275862069	0.000757286740900966	-0.3	-9	1.44901319656102	0.0832766204920127	0	15	0.333333333333333	0.00075190414116032	1.17174328936221	0.0338861012172407
YAL012W	394	1094.02	568.35	1.92490542799331	0.00349410138073666	0	-1.5	151.987825113479	0.267419416052572	0	65	0.4	0.00349251373619544	38.2735803740811	5.14119250730224
YAL013W	405	40.68	25.52	1.59404388714734	0.00168992599693992	-2.8	-8	5.79713407669037	0.227160426202601	0	19	0.263157894736842	0.00173268322075607	1.7185568243979	0.11452748359808
YAL014C	255	29.91	63.3	0.472511848341232	0.000454395602706035	-2.5	-13.3	4.14414152634199	0.0654682705583254	1	49	0.408163265306122	0.000452972010658316	4.26272127681769	0.0742651318321573
YAL015C	399	13.4	23.07	0.580840918942349	0.000656200160106158	0	NA	1.83305554736832	0.0794562439258051	NA	NA	NA	0.00064584193612499	1.55356998193024	0.0385907940398265
YAL016W	635	155	143.31	1.08157141860303	0.00149186081779973	-1.2	-6.9	22.5893645751631	0.157625877992904	0	88	0.375	0.0015642987793031	9.65072016083321	0.580638837191817
YAL017W	1356	20.26	50.59	0.400474402055742	0.000482671253059891	-1.6	NA	3.00655434783242	0.0594298151380198	NA	NA	NA	0.000515347452696372	3.40680994303644	0.0675265702294039
YAL019W	1131	36.23	74.28	0.487749057619817	0.000659504166242168	0	-13.4	5.76034754386889	0.0775491053294142	0	111	0.333333333333333	0.000754426575293989	5.00213169734625	0.145143887907632
YAL020C	333	13.6	25.42	0.53501180173092	0.000555540651829697	-3.6	NA	1.99334215733765	0.0784162925781922	NA	NA	NA	0.000585838446618574	1.71182266756249	0.0385712127865874
YAL021C	837	60.77	92.55	0.656618044300378	0.000790597191319212	-0.1	NA	8.51254352813907	0.0919777798826479	NA	NA	NA	0.000796791070818001	6.23246215117657	0.190998853510332
YAL022C	517	36.38	61.02	0.596197967879384	0.000680133234373188	-2.3	-11.7	4.7493827781593	0.0778332149813061	0	17	0.294117647058824	0.000638833316525546	4.10918250097022	0.100964718665521
YAL023C	759	226.78	342.37	0.662382802231504	0.00102511293160897	-0.9	-5.9	30.5337613141908	0.0891835187492794	0	89	0.370786516853933	0.00099303910187031	23.0557327574103	0.880586313476176
YAL024C	1435	7.82	25.86	0.302397525135344	0.00036329722536357	-1.3	NA	1.13576108587032	0.0439196088890302	NA	NA	NA	0.000379630760206248	1.74145295763832	0.0254272734681405
YAL025C	306	133.77	58.06	2.30399586634516	0.00338252547831417	-1.3	-7.2	18.4929800101403	0.318514984673447	0	24	0.333333333333333	0.00336440548082058	3.90985145864194	0.50593560294805
YAL026C	1355	25.1	74.53	0.336777136723467	0.000503030786096231	-4.7	NA	4.32151374185504	0.057983546784584	NA	NA	NA	0.000623125930520413	5.01896708943479	0.120286482225207
YAL027W	261	14.4	18.86	0.763520678685048	0.000863997478082985	-3.3	-4.9	1.97389162452836	0.104660213389627	1	81	0.37037037037037	0.000852103539151378	1.27006197915927	0.0416240118224313
YAL028W	528	2.59	8.11	0.319358816276202	0.000343291801973488	-0.9	NA	0.364808991153974	0.0449826129659647	NA	NA	NA	0.000347895077545912	0.546140119352155	0.00730767150665199
